lastname,firstname,type,school
Quitzon,Enrico,teacher,placeat school
Corkery,Filiberto,teacher,placeat school
Pollich,Gonzalo,teacher,placeat school
Corwin,Nelle,teacher,placeat school
Hansen,Verna,teacher,placeat school
Powlowski,Prudence,teacher,placeat school
Kreiger,Melvin,student,placeat school
Howe,Wilburn,student,placeat school
Sauer,Lucie,student,placeat school
Frami,Theresia,student,placeat school
Cruickshank,Gaylord,student,placeat school
Beahan,Kaelyn,student,placeat school
Little,Bernhard,teacher,quas school
Champlin,Shad,teacher,quas school
Champlin,Alessia,teacher,quas school
Gerlach,Keara,teacher,quas school
Auer,Clementina,teacher,quas school
Ritchie,Preston,teacher,quas school
Feil,Gilda,student,quas school
Stamm,Pearlie,student,quas school
Pfeffer,Erich,student,quas school
Stokes,Raul,student,quas school
Runolfsdottir,Kattie,student,quas school
Bergstrom,Brandi,student,quas school
Block,Jordon,teacher,aut school
Bartoletti,Fred,teacher,aut school
Corwin,Shakira,teacher,aut school
Monahan,Janice,teacher,aut school
Toy,Emmy,teacher,aut school
Witting,Brenna,teacher,aut school
Kiehn,Joana,student,aut school
Emmerich,Flo,student,aut school
Ernser,Maryse,student,aut school
Kunde,Amos,student,aut school
Kuphal,Kenyatta,student,aut school
Howell,Shemar,student,aut school
